Transaction Date,Details,Account,Category,Subcategory,Notes,Debit,Credit,Balance,Original Description
22-08-2022,Wolfe-Martin,Transaction Account,Insurance,Financial Insurance,Position country national individual.,741.97,,23759.73,Exist possible when task allow personal piece friend.
05-02-2023,Rivera-Mcclure,Transaction Account,Services,Government,Art although news whole body.,203.6,,29056.96,Necessary window ok news government over.
31-01-2023,Smith-Johnson,Transaction Account,Utilities,"Electricity, Gas & Water",Capital off scientist account event them.,294.09,,26979.48,Approach agent professor cost sense team exactly.
15-08-2022,Castillo LLC,Transaction Account,Gifts & Donations,Gifts,Gun kind then box.,22.22,,38166.49,Several matter describe college garden hope establish.
14-09-2022,Schmidt Ltd,Transaction Account,Insurance,Financial Insurance,Will meeting keep understand.,321.25,,13427.48,Campaign full me environment common far movie.
14-06-2022,Davis Group,Transaction Account,Insurance,Financial Insurance,Catch else yes answer win require check.,255.42,,37890.15,Again security general also society national.
01-05-2023,"Gonzales, Berry and Johnson",Transaction Account,Personal,Clothing,Institution lead little them present.,394.39,,42164.95,Address seem girl matter available five.
24-09-2022,"Weiss, Ferguson and Martin",Transaction Account,Utilities,Pay TV,Serious mission quality letter.,692.71,,45016.09,Day choose once seek source loss.
13-12-2022,Sheppard-Bradley,Transaction Account,Transportation,Parking & Tolls,Too popular citizen offer travel choice.,56.35,,26967.77,History organization involve indeed another.
16-08-2022,"Thompson, Holmes and Blankenship",Transaction Account,Home,Furnishings,Few reveal report challenge accept believe follow.,336.55,,11946.95,Something up purpose information hair simple give.
21-01-2023,Hill PLC,Transaction Account,Income,Salary,Process decade end cup visit decide actually.,,949.87,41511.39,Top successful grow wide.
15-04-2023,Mann LLC,Transaction Account,Education,Stationery,Easy from green.,240.01,,23873.8,Choose institution power rest tough office.
18-07-2022,Fry-Calderon,Transaction Account,Education,Stationery,Agreement fear picture set professional.,443.91,,24022.18,East music mother cut together.
07-12-2022,Drake-Bennett,Transaction Account,Education,Stationery,Early these song big answer ask high.,92.93,,33129.66,Party book next.
24-02-2023,Fisher-Stephens,Transaction Account,Services,Government,Accept TV rock list.,307.3,,10779.8,Also gas heavy.
15-01-2023,"Wiggins, Johnson and Howard",Transaction Account,Income,Salary,Picture between teacher bag pull class.,,754.09,13707.23,Kind site official assume.
24-12-2022,"Murphy, Maddox and Ryan",Transaction Account,Insurance,Financial Insurance,Care call recently hotel want explain fast.,328.75,,44963.6,Wall play however step.
06-06-2022,Thompson-Fry,Transaction Account,Utilities,Pay TV,Relationship movement day truth have deep.,705.7,,37252.88,Security minute guess court pressure.
23-08-2022,"Hernandez, Dixon and Bautista",Transaction Account,Technology,Software,Continue doctor bed billion collection line.,172.66,,44623.83,Special conference education size medical.
10-07-2022,Smith PLC,Transaction Account,Income,Salary,Bag similar add card onto trouble.,,599.99,17579.3,Season technology nature wear threat long compare.
10-10-2022,Campbell-Taylor,Transaction Account,Leisure,Dance,Development order decide eye.,519.96,,35782.68,Home summer stage law enter guy property.
11-06-2022,"Martin, Payne and Thompson",Transaction Account,Education,Stationery,Factor window task eat although.,405.56,,41270.12,Family key party picture.
13-04-2023,Petty Inc,Transaction Account,Transportation,Taxis,Message way standard responsibility explain next.,504.42,,38599.33,Yes shake time foreign west buy hotel.
12-03-2023,Black and Sons,Transaction Account,Food & Drink,Fast Food,Pick sound recently democratic road.,524.53,,24094.65,Next read ok send my.
14-05-2023,Barry-Mullins,Transaction Account,Technology,Software,Several per foot reduce can.,161.13,,33545.61,Money real perform.
13-12-2022,Gentry LLC,Transaction Account,Services,Marketing,Manager half area simply stand government indicate.,340.45,,11871.64,Good build base most part.
17-11-2022,"Zimmerman, Montoya and Johnson",Transaction Account,Financial,Direct Debits,Sea price citizen see after.,759.22,,39974.04,Not seat also.
09-08-2022,Compton LLC,Transaction Account,Technology,Software,Help them mention girl yard factor decision public.,224.82,,22624.39,Will quite eye choice election up.
30-05-2022,Luna-Vasquez,Transaction Account,Health & Medical,Pharmacies,Training result image expect table garden sea.,673.9,,24577.65,World that piece institution.
13-04-2023,"Lopez, Lopez and Moreno",Transaction Account,Income,Salary,Stock or lead left its.,,621.36,24383.24,Might back compare.
26-05-2023,Schaefer LLC,Transaction Account,Insurance,Financial Insurance,Already future still upon from security yes.,58.14,,41814.54,Stand practice music theory alone.
12-04-2023,Contreras LLC,Transaction Account,Travel,Tours & Cruises,This religious head likely land understand throughout exist.,728.33,,40003.84,School total create guy better claim join rock.
26-07-2022,Simmons Group,Transaction Account,Income,Salary,One find marriage later in.,,644.54,17502.2,Air money herself wrong fine.
19-07-2022,"Gallagher, Martin and Huang",Transaction Account,Health & Medical,Pharmacies,Sign ball end TV design knowledge.,683.59,,17518.9,Explain your window onto system indeed represent.
10-06-2022,"Davidson, Cole and Watkins",Transaction Account,Home,Furnishings,Tonight sound TV find free follow similar.,219.46,,37194.58,Member well despite loss.
21-08-2022,Smith PLC,Transaction Account,Financial,Cash Withdrawals,Since around than reveal money social garden.,155.8,,22696.65,Smile energy account difficult issue try camera.
20-09-2022,Smith-Santiago,Transaction Account,Gifts & Donations,Gifts,Bit blood manage reduce.,159.94,,18871.7,Since act police imagine message unit now.
14-04-2023,Nguyen-Simon,Transaction Account,Education,Stationery,Enjoy never and recognize different health.,131.56,,36490.62,Certainly whole myself.
30-12-2022,"Nelson, Rose and Nichols",Transaction Account,Insurance,Financial Insurance,Gun production nice be full oil bit.,553.32,,30090.47,Full white stand decision successful.
27-08-2022,"Craig, Roth and Love",Transaction Account,Education,Stationery,Bring spring keep.,510.62,,34958.79,Teacher property foreign even international all.
20-10-2022,Andrews Ltd,Transaction Account,Income,Salary,News finish detail ago.,,942.32,35158.17,Grow table message class.
13-10-2022,Mendoza-Mcguire,Transaction Account,Income,Salary,Ability city product possible.,,648.98,42966.06,Pick toward open loss.
31-12-2022,Evans-Brooks,Transaction Account,Income,Salary,Right hotel dream.,,957.16,41217.38,Discussion service education individual.
15-03-2023,Barton Ltd,Transaction Account,Services,Government,Trip money activity lead happy account memory.,628.57,,39449.84,Pay remember hotel six.
04-12-2022,Klein PLC,Transaction Account,Education,Stationery,Protect owner while.,89.36,,38657.79,Hear professional weight whole attack phone.
11-01-2023,Gentry-Barnett,Transaction Account,Insurance,Financial Insurance,Executive another plan follow wide drug.,86.95,,29514.12,Every enter brother.
21-11-2022,Blevins-Robinson,Transaction Account,Home,Furnishings,Save science threat than reduce personal fish.,787.91,,28666.98,Indicate I pretty.
11-08-2022,Shields Ltd,Transaction Account,Gifts & Donations,Gifts,Person newspaper discuss myself debate.,496.21,,39388.0,Include phone success shoulder.
18-09-2022,Greer PLC,Transaction Account,Travel,Accommodation,Modern wonder keep hit specific modern population inside.,33.66,,24283.22,Wall already south group more.
12-12-2022,Nguyen Ltd,Transaction Account,Home,Furnishings,Eat write town push modern single author.,281.9,,25476.97,Exactly parent right edge total notice recent individual.
25-09-2022,"Robbins, Moran and Cohen",Transaction Account,Services,Government,Nature beat her recently point later magazine weight.,485.21,,32368.79,Management decide impact drop rise knowledge.
26-07-2022,Gray-Price,Transaction Account,Utilities,Pay TV,Seven recently central attack paper state.,591.92,,37489.99,Get present I find movement.
21-01-2023,Mckinney LLC,Transaction Account,Financial,Cash Withdrawals,Pass less recently any.,785.48,,48064.63,I second subject peace.
20-09-2022,"Harrison, Duarte and Olson",Transaction Account,Leisure,Music,Recognize partner beat ahead.,762.42,,12243.05,With deep blue part.
06-02-2023,"Moody, Robinson and Foley",Transaction Account,Food & Drink,Alcohol & Bars,Wall dog age end.,295.82,,19963.42,Later admit American.
11-07-2022,Hogan-Cooke,Transaction Account,Income,Salary,Stock and between.,,971.83,46519.86,Once area miss necessary remain.
15-02-2023,"Serrano, Wallace and Walters",Transaction Account,Food & Drink,Groceries,Service deal offer town around admit myself.,349.35,,45385.91,Magazine firm trade main night.
16-11-2022,Barber Inc,Transaction Account,Technology,Hardware,For view enter put plan phone.,6.1,,17340.59,Apply base trip outside community.
06-07-2022,"Stephens, Palmer and Calhoun",Transaction Account,Services,Government,Offer rest sure list visit government hospital.,332.89,,15933.6,Four contain discussion some memory.
05-12-2022,"Stanley, Cook and Baker",Transaction Account,Income,Salary,Tree behind like.,,841.99,24547.99,Accept place with impact song.
09-03-2023,Moore-Rodriguez,Transaction Account,Insurance,Financial Insurance,Far position western color.,159.89,,42622.81,Child artist item government bill off just.
08-02-2023,"Fox, Acosta and Harrington",Transaction Account,Personal,Other Personal Expenses,Woman car contain push popular.,745.62,,21793.77,Hot kitchen matter book.
17-08-2022,Hoover and Sons,Transaction Account,Financial,Cash Withdrawals,Test hard everything physical senior young.,282.12,,29014.67,Policy investment suffer wide.
06-01-2023,Mann LLC,Transaction Account,Insurance,Financial Insurance,Process especially shoulder dark require discuss green.,421.41,,33624.24,Feel mother Congress board.
20-01-2023,Berry-Rodriguez,Transaction Account,Food & Drink,Groceries,Father employee everybody visit necessary commercial.,439.31,,47195.52,Debate task wide price.
25-02-2023,"Espinoza, Clark and Lester",Transaction Account,Health & Medical,Pharmacies,Article add right agency article court three.,663.59,,32495.36,Long guy expect purpose successful.
24-02-2023,"Adkins, Turner and Hodges",Transaction Account,Travel,Tours & Cruises,There participant drug shoulder baby night chair.,470.18,,42617.08,Resource yes ball program trial.
26-03-2023,Cohen Group,Transaction Account,Technology,Software,Debate anything write or.,255.26,,16091.1,Offer claim ok son stop.
25-04-2023,Roberts Inc,Transaction Account,Travel,Travel Entertainment,Staff situation discussion spring that news forget.,455.19,,45092.31,Southern idea region later continue process myself.
01-08-2022,Snow Inc,Transaction Account,Leisure,Dance,Deal left key bad film.,445.92,,30410.97,Who price everybody fact shoulder various effort federal.
30-04-2023,Walsh-Reese,Transaction Account,Utilities,Pay TV,Budget light how hear.,136.88,,26155.53,Protect today result professional project clear PM.
20-03-2023,"Brewer, Smith and Owen",Transaction Account,Education,Stationery,Better range again fish thank itself.,674.09,,31866.25,Worry plan week southern matter today simple.
30-05-2022,Diaz-Kelly,Transaction Account,Personal,Other Personal Expenses,Article foot traditional mention father.,602.2,,42477.31,Fight between such on to good throw.
24-07-2022,Berry Group,Transaction Account,Home,Furnishings,During reduce speech word.,730.62,,26779.8,Material join police account common professor simply hope.
15-04-2023,Martinez Inc,Transaction Account,Utilities,Phone,Traditional democratic thousand white maybe.,774.2,,28022.58,Someone suffer professional let head see continue.
01-12-2022,Mclean-Bernard,Transaction Account,Utilities,Phone,Follow such decision live such middle.,722.61,,25037.86,Alone natural voice environmental activity ahead police.
09-10-2022,"Brown, Green and Mills",Transaction Account,Personal,Clothing,Dream remain game per particularly.,296.87,,14963.01,I hospital nearly song fact do school.
27-02-2023,"Murphy, Harmon and King",Transaction Account,Transportation,Public Transit,Magazine reduce message represent policy.,758.58,,16161.57,Project do section rather never civil two account.
